,index,0
0,Modern And Contemporary Fiction,49
1,Fantasy,34
2,Fantasy Romance,26
3,Contemporary Romance,21
4,Childrens And Teenage,19
5,Modern And Contempary Fiction,18
6,Historical Fiction,17
7,Crime And Mystery,16
8,Travel And Holiday Guides,13
9,Popular Science,13
10,Science Fiction,9
11,Childrens And Teenage Fiction,9
12,Myths And Legends,8
13,Ya,7
14,Poetry,6
15,Classic Fiction,6
16,Cookery,6
17,Crime,5
18,Romance,5
19,Young Adult Fantasy,5
20,Young Adult Fantasy Romance,5
21,Memoirs,5
22,Memiors,4
23,Young Adult,4
24,Sociology,3
25,Lectures On Physics,3
26,Literary Essays,3
27,Puzzles And Quizzes,3
28,Short Stories,3
29,Thriller,3
30,Thrillers,3
31,Memoir,3
32,Teen And Young Adult,3
33,Medicine,2
34,Modern And Comtempary Fiction,2
35,Road Atlases And Maps,2
36,Mathematics,2
37,Poetry Anthologies,2
38,Philosophy Of Religion,2
39,Fiction In Translation,2
40,Self Help And Personal Development,2
41,Classical Mythology,2
42,Economics,2
43,Medical,2
44,General Autobiography,2
45,Careers And Achieving Success,1
46,Literary History,1
47,Mathematics And Science,1
48,Academic,1
49,Science And Technology Biographies,1
50,Young Adult Historical,1
51,Ya Fantasy Romance,1
52,Climbing And Mountaineering,1
53,Novel,1
54,Coming-Of-Age,1
55,Machine Learning,1
56,History,1
57,Trivia And Quiz Question Books,1
58,True Stories,1
59,Home Renovation And Extension,1
60,Diy,1
61,Gifts,1
62,Journals,1
63,Fitness And Diet,1
64,Business And Industry Autobiographies,1
65,Young Adult Romance,1
66,Business Communication And Presentation,1
67,Theory Of Art,1
68,Mythology And Legends,1
69,Feminism And Feminist Theory,1
70,Marzism And Communism,1
71,Applied Mathematics,1
72,Film And Television,1
73,General Humour,1
74,Play,1
75,Historical Geography,1
76,Biography,1
77,Parties,1
78,Ethics And Moral Philosophy,1
79,Childrens Classic Fiction,1
80,Scifi,1
81,Sci-Fi,1
82,Sport,1
83,Autobiography,1
84,Classic Crime,1
85,Phd,1
86,Feminism,1
87,Historical Romance,1
88,Classic Childrens Fiction,1
89,Social And Cultural History,1
90,War And Combat Fiction,1
91,Classic Kids Fiction,1
92,Childrens Fiction,1
93,Society And Culture,1
94,Childrens And Teenage General Fiction,1
95,Myths And Legend,1
96,Travel And Maps,1
97,Dystopian Fiction,1
98,Popular Psychology,1
99,Social Issues,1
100,Popular Mathematics,1
101,Middle Grade,1
102,History Of Mathematics,1
103,Horror And Ghost Stories,1
104,Death,1
105,Careers Guidance,1
106,Contempary Romance,1
107,General And World History,1
108,Sailing,1
109,Political Fiction,1
